reason_for_detention,offense_type,no_probation_num,no_probation_pct,no_probation_avg_los,probation_num,probation_pct,probation_avg_los,total_num,total_pct,total_avg_los
Juvenile Arrest Warrant,Person,9,39,26,25,42,47,34,41,42
Juvenile Arrest Warrant,Weapons,8,35,42,11,18,51,19,23,47
Juvenile Arrest Warrant,Property,2,9,230,18,30,17,20,24,38
Juvenile Arrest Warrant,Drug - Controlled Substance,3,13,58,2,3,16,5,6,41
Juvenile Arrest Warrant,Drug – Cannabis,0,0,0,0,0,0,0,0,0
Juvenile Arrest Warrant,Sex Crimes,0,0,0,3,5,29,3,4,29
Juvenile Arrest Warrant,Other,1,4,11,1,2,99,2,2,55
Court Hold,Person,5,56,13,4,36,16,9,45,14
Court Hold,Weapons,3,33,25,3,27,22,6,30,24
Court Hold,Property,1,11,49,4,36,16,5,25,22
Court Hold,Drug - Controlled Substance,0,0,0,0,0,0,0,0,0
Court Hold,Drug – Cannabis,0,0,0,0,0,0,0,0,0
Court Hold,Sex Crimes,0,0,0,0,0,0,0,0,0
Court Hold,Other,0,0,0,0,0,0,0,0,0
New Offense,Person,29,48,103,26,47,66,55,47,85
New Offense,Weapons,28,46,21,22,40,24,50,43,22
New Offense,Property,1,2,20,6,11,65,7,6,59
New Offense,Drug - Controlled Substance,0,0,0,0,0,0,0,0,0
New Offense,Drug – Cannabis,0,0,0,0,0,0,0,0,0
New Offense,Sex Crimes,2,3,243,1,2,349,3,3,278
New Offense,Other,1,2,95,0,0,0,1,1,95
Violation of Probation,Violation of Probation,0,0,0,6,5,22,6,3,22
