district,dist_name,black_pop,total_pop,pct_black,race,total
1,Central,14819,71809,20.64,ASIAN/PACIFIC ISLANDER,7
1,Central,14819,71809,20.64,BLACK,367
1,Central,14819,71809,20.64,BLACK HISPANIC,3
1,Central,14819,71809,20.64,UNKNOWN,1
1,Central,14819,71809,20.64,WHITE,21
1,Central,14819,71809,20.64,WHITE HISPANIC,25
2,Wentworth,72719,102966,70.62,ASIAN/PACIFIC ISLANDER,4
2,Wentworth,72719,102966,70.62,BLACK,874
2,Wentworth,72719,102966,70.62,WHITE,7
2,Wentworth,72719,102966,70.62,WHITE HISPANIC,9
3,Grand Crossing,75304,83850,89.81,ASIAN/PACIFIC ISLANDER,1
3,Grand Crossing,75304,83850,89.81,BLACK,1011
3,Grand Crossing,75304,83850,89.81,WHITE,1
4,South Chicago,74531,121844,61.17,AMER IND/ALASKAN NATIVE,1
4,South Chicago,74531,121844,61.17,BLACK,1118
4,South Chicago,74531,121844,61.17,BLACK HISPANIC,8
4,South Chicago,74531,121844,61.17,WHITE,15
4,South Chicago,74531,121844,61.17,WHITE HISPANIC,192
5,Calumet,68297,72386,94.35,ASIAN/PACIFIC ISLANDER,1
5,Calumet,68297,72386,94.35,BLACK,1048
5,Calumet,68297,72386,94.35,UNKNOWN,1
5,Calumet,68297,72386,94.35,WHITE,2
5,Calumet,68297,72386,94.35,WHITE HISPANIC,13
6,Gresham,91678,94465,97.05,ASIAN/PACIFIC ISLANDER,1
6,Gresham,91678,94465,97.05,BLACK,1013
6,Gresham,91678,94465,97.05,BLACK HISPANIC,3
6,Gresham,91678,94465,97.05,WHITE,4
6,Gresham,91678,94465,97.05,WHITE HISPANIC,5
7,Englewood,65889,69437,94.89,ASIAN/PACIFIC ISLANDER,2
7,Englewood,65889,69437,94.89,BLACK,985
7,Englewood,65889,69437,94.89,BLACK HISPANIC,1
7,Englewood,65889,69437,94.89,UNKNOWN,1
7,Englewood,65889,69437,94.89,WHITE,1
7,Englewood,65889,69437,94.89,WHITE HISPANIC,7
8,Chicago Lawn,53069,256572,20.68,ASIAN/PACIFIC ISLANDER,1
8,Chicago Lawn,53069,256572,20.68,BLACK,927
8,Chicago Lawn,53069,256572,20.68,BLACK HISPANIC,7
8,Chicago Lawn,53069,256572,20.68,WHITE,52
8,Chicago Lawn,53069,256572,20.68,WHITE HISPANIC,611
9,Deering,24900,180602,13.79,ASIAN/PACIFIC ISLANDER,1
9,Deering,24900,180602,13.79,BLACK,439
9,Deering,24900,180602,13.79,BLACK HISPANIC,4
9,Deering,24900,180602,13.79,WHITE,48
9,Deering,24900,180602,13.79,WHITE HISPANIC,434
10,Ogden,37035,114393,32.38,BLACK,732
10,Ogden,37035,114393,32.38,BLACK HISPANIC,6
10,Ogden,37035,114393,32.38,WHITE,9
10,Ogden,37035,114393,32.38,WHITE HISPANIC,346
11,Harrison,64108,76270,84.05,ASIAN/PACIFIC ISLANDER,1
11,Harrison,64108,76270,84.05,BLACK,1715
11,Harrison,64108,76270,84.05,BLACK HISPANIC,10
11,Harrison,64108,76270,84.05,WHITE,5
11,Harrison,64108,76270,84.05,WHITE HISPANIC,34
12,Near West,26335,141189,18.65,ASIAN/PACIFIC ISLANDER,3
12,Near West,26335,141189,18.65,BLACK,341
12,Near West,26335,141189,18.65,BLACK HISPANIC,3
12,Near West,26335,141189,18.65,WHITE,22
12,Near West,26335,141189,18.65,WHITE HISPANIC,146
14,Shakespeare,9696,120168,8.07,BLACK,119
14,Shakespeare,9696,120168,8.07,BLACK HISPANIC,13
14,Shakespeare,9696,120168,8.07,WHITE,10
14,Shakespeare,9696,120168,8.07,WHITE HISPANIC,156
15,Austin,57156,61418,93.06,ASIAN/PACIFIC ISLANDER,1
15,Austin,57156,61418,93.06,BLACK,1327
15,Austin,57156,61418,93.06,BLACK HISPANIC,2
15,Austin,57156,61418,93.06,WHITE,3
15,Austin,57156,61418,93.06,WHITE HISPANIC,15
16,Jefferson Park,2742,212499,1.29,AMER IND/ALASKAN NATIVE,2
16,Jefferson Park,2742,212499,1.29,ASIAN/PACIFIC ISLANDER,3
16,Jefferson Park,2742,212499,1.29,BLACK,71
16,Jefferson Park,2742,212499,1.29,BLACK HISPANIC,6
16,Jefferson Park,2742,212499,1.29,UNKNOWN,1
16,Jefferson Park,2742,212499,1.29,WHITE,108
16,Jefferson Park,2742,212499,1.29,WHITE HISPANIC,164
17,Albany Park,5121,148892,3.44,ASIAN/PACIFIC ISLANDER,5
17,Albany Park,5121,148892,3.44,BLACK,129
17,Albany Park,5121,148892,3.44,BLACK HISPANIC,17
17,Albany Park,5121,148892,3.44,UNKNOWN,1
17,Albany Park,5121,148892,3.44,WHITE,52
17,Albany Park,5121,148892,3.44,WHITE HISPANIC,256
18,Near North,9886,121085,8.16,AMER IND1ALASKAN NATIVE,1
18,Near North,9886,121085,8.16,ASIAN/PACIFIC ISLANDER,2
18,Near North,9886,121085,8.16,BLACK,384
18,Near North,9886,121085,8.16,BLACK HISPANIC,1
18,Near North,9886,121085,8.16,WHITE,23
18,Near North,9886,121085,8.16,WHITE HISPANIC,19
19,Town Hall,12789,208425,6.14,ASIAN/PACIFIC ISLANDER,8
19,Town Hall,12789,208425,6.14,BLACK,183
19,Town Hall,12789,208425,6.14,BLACK HISPANIC,6
19,Town Hall,12789,208425,6.14,UNKNOWN,1
19,Town Hall,12789,208425,6.14,WHITE,54
19,Town Hall,12789,208425,6.14,WHITE HISPANIC,74
20,Lincoln,10163,87887,11.56,ASIAN/PACIFIC ISLANDER,3
20,Lincoln,10163,87887,11.56,BLACK,103
20,Lincoln,10163,87887,11.56,BLACK HISPANIC,3
20,Lincoln,10163,87887,11.56,WHITE,26
20,Lincoln,10163,87887,11.56,WHITE HISPANIC,63
22,Morgan Park,62526,103381,60.48,BLACK,655
22,Morgan Park,62526,103381,60.48,WHITE,26
22,Morgan Park,62526,103381,60.48,WHITE HISPANIC,1
24,Rogers Park,25604,142599,17.96,AMER IND/ALASKAN NATIVE,1
24,Rogers Park,25604,142599,17.96,ASIAN/PACIFIC ISLANDER,4
24,Rogers Park,25604,142599,17.96,BLACK,230
24,Rogers Park,25604,142599,17.96,BLACK HISPANIC,4
24,Rogers Park,25604,142599,17.96,WHITE,18
24,Rogers Park,25604,142599,17.96,WHITE HISPANIC,68
25,Grand Central,34233,200227,17.1,BLACK,322
25,Grand Central,34233,200227,17.1,BLACK HISPANIC,23
25,Grand Central,34233,200227,17.1,WHITE,23
25,Grand Central,34233,200227,17.1,WHITE HISPANIC,343
