dist_num,dist_name,offense,felony,misdemeanor,other,total
1,Central,AGGRAVATED ASSAULT (INDEX),2,6,0,8
1,Central,AGGRAVATED BATTERY (INDEX),4,0,0,4
1,Central,BURGLARY (INDEX),10,0,0,10
1,Central,CRIMINAL SEXUAL ASSAULT (INDEX),1,0,0,1
1,Central,DISORDERLY CONDUCT,2,24,6,32
1,Central,DRIVING UNDER THE INFLUENCE,0,0,0,0
1,Central,DRUG ABUSE VIOLATIONS,2,15,0,17
1,Central,FORGERY AND COUNTERFEITING,0,0,0,0
1,Central,FRAUD,0,0,0,0
1,Central,GAMBLING,0,0,0,0
1,Central,HOMICIDE - 1ST OR 2ND DEGREE (INDEX),1,0,0,1
1,Central,LARCENY - THEFT (INDEX),12,172,0,184
1,Central,LIQUOR LAWS,0,0,0,0
1,Central,MISCELLANEOUS MUNICIPAL CODE VIOLATIONS,0,0,2,2
1,Central,MISCELLANEOUS NON-INDEX OFFENSES,0,42,0,42
1,Central,MOTOR VEHICLE THEFT (INDEX),4,1,0,5
1,Central,OFFENSES AGAINST FAMILY AND CHILDREN 1 INVOLVING CHILDREN,0,0,0,0
1,Central,PROSTITUTION,0,0,0,0
1,Central,ROBBERY (INDEX),25,0,0,25
1,Central,SEX OFFENSE - CRIMINAL SEXUAL ABUSE,0,0,0,0
1,Central,SIMPLE ASSAULT,0,4,0,4
1,Central,SIMPLE BATTERY,0,52,0,52
1,Central,TRAFFIC VIOLATIONS,1,0,3,4
1,Central,VANDALISM,1,10,4,15
1,Central,WARRANT ARRESTS,0,0,12,12
1,Central,WEAPONS,5,0,1,6
2,Wentworth,AGGRAVATED ASSAULT (INDEX),0,18,0,18
2,Wentworth,AGGRAVATED BATTERY (INDEX),15,0,0,15
2,Wentworth,ARSON (INDEX),0,0,0,0
2,Wentworth,BURGLARY (INDEX),30,0,0,30
2,Wentworth,CRIMINAL SEXUAL ASSAULT (INDEX),8,0,0,8
2,Wentworth,DISORDERLY CONDUCT,4,99,11,114
2,Wentworth,DRIVING UNDER THE INFLUENCE,0,0,0,0
2,Wentworth,DRUG ABUSE VIOLATIONS,9,77,0,86
2,Wentworth,FORGERY AND COUNTERFEITING,2,0,0,2
2,Wentworth,FRAUD,0,0,0,0
2,Wentworth,GAMBLING,0,2,0,2
2,Wentworth,HOMICIDE - 1ST OR 2ND DEGREE (INDEX),3,0,0,3
2,Wentworth,INVOLUNTARY MANSLAUGHTER 1 RECKLESS HOMICIDE W1 VEHICLE,0,0,0,0
2,Wentworth,LARCENY - THEFT (INDEX),24,64,1,89
2,Wentworth,LIQUOR LAWS,0,0,1,1
2,Wentworth,MISCELLANEOUS MUNICIPAL CODE VIOLATIONS,0,0,8,8
2,Wentworth,MISCELLANEOUS NON-INDEX OFFENSES,3,152,4,159
2,Wentworth,MOTOR VEHICLE THEFT (INDEX),22,11,0,33
2,Wentworth,OFFENSES AGAINST FAMILY AND CHILDREN 1 INVOLVING CHILDREN,0,0,0,0
2,Wentworth,PROSTITUTION,0,0,0,0
2,Wentworth,ROBBERY (INDEX),72,0,0,72
2,Wentworth,SEX OFFENSE - CRIMINAL SEXUAL ABUSE,1,2,0,3
2,Wentworth,SIMPLE ASSAULT,0,24,1,25
2,Wentworth,SIMPLE BATTERY,0,114,0,114
2,Wentworth,TRAFFIC VIOLATIONS,0,1,1,2
2,Wentworth,VANDALISM,1,13,0,14
2,Wentworth,WARRANT ARRESTS,0,0,50,50
2,Wentworth,WEAPONS,30,2,14,46
3,Grand Crossing,AGGRAVATED ASSAULT (INDEX),3,29,0,32
3,Grand Crossing,AGGRAVATED BATTERY (INDEX),24,0,0,24
3,Grand Crossing,ARSON (INDEX),2,0,0,2
3,Grand Crossing,BURGLARY (INDEX),52,0,0,52
3,Grand Crossing,CRIMINAL SEXUAL ASSAULT (INDEX),0,0,0,0
3,Grand Crossing,DISORDERLY CONDUCT,2,87,18,107
3,Grand Crossing,DRIVING UNDER THE INFLUENCE,0,0,0,0
3,Grand Crossing,DRUG ABUSE VIOLATIONS,14,61,3,78
3,Grand Crossing,FORGERY AND COUNTERFEITING,0,0,0,0
3,Grand Crossing,FRAUD,0,0,0,0
3,Grand Crossing,GAMBLING,0,17,2,19
3,Grand Crossing,HOMICIDE - 1ST OR 2ND DEGREE (INDEX),2,0,0,2
3,Grand Crossing,LARCENY - THEFT (INDEX),10,26,0,36
3,Grand Crossing,LIQUOR LAWS,0,1,0,1
3,Grand Crossing,MISCELLANEOUS MUNICIPAL CODE VIOLATIONS,0,0,9,9
3,Grand Crossing,MISCELLANEOUS NON-INDEX OFFENSES,1,239,4,244
3,Grand Crossing,MOTOR VEHICLE THEFT (INDEX),28,13,0,41
3,Grand Crossing,OFFENSES AGAINST FAMILY AND CHILDREN 1 INVOLVING CHILDREN,0,0,0,0
3,Grand Crossing,PROSTITUTION,0,0,0,0
3,Grand Crossing,ROBBERY (INDEX),54,0,0,54
3,Grand Crossing,SEX OFFENSE - CRIMINAL SEXUAL ABUSE,3,0,0,3
3,Grand Crossing,SIMPLE ASSAULT,0,29,0,29
3,Grand Crossing,SIMPLE BATTERY,0,107,0,107
3,Grand Crossing,TRAFFIC VIOLATIONS,0,1,1,2
3,Grand Crossing,VANDALISM,2,7,0,9
3,Grand Crossing,WARRANT ARRESTS,0,0,112,112
3,Grand Crossing,WEAPONS,40,3,7,50
4,South Chicago,AGGRAVATED ASSAULT (INDEX),2,21,0,23
4,South Chicago,AGGRAVATED BATTERY (INDEX),26,0,0,26
4,South Chicago,ARSON (INDEX),1,0,0,1
4,South Chicago,BURGLARY (INDEX),34,0,0,34
4,South Chicago,CRIMINAL SEXUAL ASSAULT (INDEX),3,0,0,3
4,South Chicago,DISORDERLY CONDUCT,0,199,36,235
4,South Chicago,DRIVING UNDER THE INFLUENCE,0,0,0,0
4,South Chicago,DRUG ABUSE VIOLATIONS,26,189,1,216
4,South Chicago,FORGERY AND COUNTERFEITING,0,0,0,0
4,South Chicago,FRAUD,1,0,0,1
4,South Chicago,GAMBLING,0,19,0,19
4,South Chicago,HOMICIDE - 1ST OR 2ND DEGREE (INDEX),3,0,0,3
4,South Chicago,LARCENY - THEFT (INDEX),2,51,4,57
4,South Chicago,LIQUOR LAWS,0,5,0,5
4,South Chicago,MISCELLANEOUS MUNICIPAL CODE VIOLATIONS,0,0,8,8
4,South Chicago,MISCELLANEOUS NON-INDEX OFFENSES,7,206,1,214
4,South Chicago,MOTOR VEHICLE THEFT (INDEX),22,7,0,29
4,South Chicago,OFFENSES AGAINST FAMILY AND CHILDREN 1 INVOLVING CHILDREN,0,0,0,0
4,South Chicago,PROSTITUTION,0,0,0,0
4,South Chicago,ROBBERY (INDEX),47,0,0,47
4,South Chicago,SEX OFFENSE - CRIMINAL SEXUAL ABUSE,0,0,1,1
4,South Chicago,SIMPLE ASSAULT,0,30,2,32
4,South Chicago,SIMPLE BATTERY,0,153,0,153
