zip,demo,2015,2014,2013,2012,2011,2010,2009,total
10009,Black Male,0,0,0,0,1,0,0,1
10009,Black Female,0,0,0,0,0,0,0,0
10009,White Male,0,0,0,0,0,0,,0
10009,White Female,0,0,0,0,0,0,0,0
10009,Hispanic Male,0,0,0,0,0,0,0,0
10009,Hispanic Female,0,0,0,0,0,0,0,0
10009,Asian Male,0,0,0,0,0,0,,0
10009,Asian Female,0,0,0,0,0,0,0,0
10304,Black Male,0,0,0,0,0,1,0,1
10304,Black Female,0,0,0,0,0,0,0,0
10304,White Male,0,0,0,0,0,0,,0
10304,White Female,0,0,0,0,0,0,0,0
10304,Hispanic Male,0,0,0,0,0,0,0,0
10304,Hispanic Female,0,0,0,0,0,0,0,0
10304,Asian Male,0,0,0,0,0,0,,0
10304,Asian Female,0,0,0,0,0,0,0,0
30038,Black Male,0,0,0,0,0,0,1,1
30038,Black Female,0,0,0,0,0,0,0,0
30038,White Male,0,0,0,0,0,0,,0
30038,White Female,0,0,0,0,0,0,0,0
30038,Hispanic Male,0,0,0,0,0,0,0,0
30038,Hispanic Female,0,0,0,0,0,0,0,0
30038,Asian Male,0,0,0,0,0,0,,0
30038,Asian Female,0,0,0,0,0,0,0,0
30523,Black Male,0,0,0,0,0,0,1,1
30523,Black Female,0,0,0,0,0,0,0,0
30523,White Male,0,0,0,0,0,0,,0
30523,White Female,0,0,0,0,0,0,0,0
30523,Hispanic Male,0,0,0,0,0,0,0,0
30523,Hispanic Female,0,0,0,0,0,0,0,0
30523,Asian Male,0,0,0,0,0,0,,0
30523,Asian Female,0,0,0,0,0,0,0,0
33612,Black Male,0,0,0,0,0,0,0,0
33612,Black Female,0,0,0,0,0,0,0,0
33612,White Male,0,0,0,0,0,0,,0
33612,White Female,0,0,0,0,0,0,0,0
33612,Hispanic Male,0,0,0,0,0,0,0,0
33612,Hispanic Female,0,0,0,0,0,0,0,0
33612,Asian Male,0,0,0,0,0,0,,0
33612,Asian Female,0,0,0,0,0,0,0,0
33705,Black Male,0,0,1,0,0,0,0,1
33705,Black Female,0,0,0,0,0,0,0,0
33705,White Male,0,0,0,0,0,0,,0
33705,White Female,0,0,0,0,0,0,0,0
33705,Hispanic Male,0,0,0,0,0,0,0,0
33705,Hispanic Female,0,0,0,0,0,0,0,0
33705,Asian Male,0,0,0,0,0,0,,0
33705,Asian Female,0,0,0,0,0,0,0,0
34652,Black Male,0,0,0,0,1,0,0,1
34652,Black Female,0,0,0,0,0,0,0,0
34652,White Male,0,0,0,0,0,0,,0
34652,White Female,0,0,0,0,0,0,0,0
34652,Hispanic Male,0,0,0,0,0,0,0,0
34652,Hispanic Female,0,0,0,0,0,0,0,0
34652,Asian Male,0,0,0,0,0,0,,0
34652,Asian Female,0,0,0,0,0,0,0,0
40175,Black Male,0,1,0,0,0,0,0,1
40175,Black Female,0,0,0,0,0,0,0,0
40175,White Male,0,0,0,0,0,0,,0
40175,White Female,0,0,0,0,0,0,0,0
40175,Hispanic Male,0,0,0,0,0,0,0,0
40175,Hispanic Female,0,0,0,0,0,0,0,0
40175,Asian Male,0,0,0,0,0,0,,0
40175,Asian Female,0,0,0,0,0,0,0,0
43605,Black Male,0,0,1,0,0,0,0,1
43605,Black Female,0,0,0,0,0,0,0,0
43605,White Male,0,0,0,0,0,0,,0
43605,White Female,0,0,0,0,0,0,0,0
43605,Hispanic Male,0,0,0,0,0,0,0,0
43605,Hispanic Female,0,0,0,0,0,0,0,0
43605,Asian Male,0,0,0,0,0,0,,0
43605,Asian Female,0,0,0,0,0,0,0,0
43952,Black Male,0,0,0,0,1,0,0,1
43952,Black Female,0,0,0,0,0,0,0,0
43952,White Male,0,0,0,0,0,0,,0
43952,White Female,0,0,0,0,0,0,0,0
43952,Hispanic Male,0,0,0,0,0,0,0,0
43952,Hispanic Female,0,0,0,0,0,0,0,0
43952,Asian Male,0,0,0,0,0,0,,0
43952,Asian Female,0,0,0,0,0,0,0,0
44310,Black Male,0,0,0,0,0,0,1,1
44310,Black Female,0,0,0,0,0,0,0,0
44310,White Male,0,0,0,0,0,0,,0
44310,White Female,0,0,0,0,0,0,0,0
44310,Hispanic Male,0,0,0,0,0,0,0,0
44310,Hispanic Female,0,0,0,0,0,0,0,0
44310,Asian Male,0,0,0,0,0,0,,0
44310,Asian Female,0,0,0,0,0,0,0,0
46234,Black Male,0,0,0,0,1,0,0,1
46234,Black Female,0,0,0,0,0,0,0,0
46234,White Male,0,0,0,0,0,0,,0
46234,White Female,0,0,0,0,0,0,0,0
46234,Hispanic Male,0,0,0,0,0,0,0,0
46234,Hispanic Female,0,0,0,0,0,0,0,0
46234,Asian Male,0,0,0,0,0,0,,0
46234,Asian Female,0,0,0,0,0,0,0,0
46235,Black Male,0,0,0,1,0,0,0,1
46235,Black Female,0,0,0,0,0,0,0,0
46235,White Male,0,0,0,0,0,0,,0
46235,White Female,0,0,0,0,0,0,0,0
46235,Hispanic Male,0,0,0,0,0,0,0,0
46235,Hispanic Female,0,0,0,0,0,0,0,0
46235,Asian Male,0,0,0,0,0,0,,0
46235,Asian Female,0,0,0,0,0,0,0,0
46305,Black Male,0,0,0,0,0,0,0,0
46305,Black Female,0,0,0,0,0,0,0,0
46305,White Male,0,0,0,0,0,0,,0
46305,White Female,0,0,0,0,0,0,0,0
46305,Hispanic Male,0,0,0,0,0,0,0,0
46305,Hispanic Female,0,0,0,0,0,0,0,0
46305,Asian Male,0,0,0,0,0,0,,0
46305,Asian Female,0,0,0,0,0,0,0,0
46307,Black Male,0,0,0,0,0,1,0,1
46307,Black Female,0,0,0,0,0,0,0,0
46307,White Male,0,0,0,0,0,0,0,0
46307,White Female,0,0,0,0,0,0,0,0
46307,Hispanic Male,0,0,0,0,0,0,0,0
46307,Hispanic Female,0,0,0,0,0,0,0,0
46307,Asian Male,0,0,0,0,0,0,0,0
46307,Asian Female,0,0,0,0,0,0,0,0
46319,Black Male,0,0,1,0,0,0,0,1
46319,Black Female,0,0,0,0,0,0,0,0
46319,White Male,0,0,0,0,0,0,0,0
46319,White Female,0,0,0,0,0,0,0,0
46319,Hispanic Male,0,0,0,0,0,0,0,0
46319,Hispanic Female,0,0,0,0,0,0,0,0
46319,Asian Male,0,0,0,0,0,0,0,0
46319,Asian Female,0,0,0,0,0,0,0,0
46324,Black Male,0,0,0,0,0,0,0,0
46324,Black Female,0,0,0,0,0,0,0,0
46324,White Male,0,0,0,0,0,0,0,0
46324,White Female,0,0,0,0,0,0,0,0
46324,Hispanic Male,0,1,0,0,0,0,0,1
46324,Hispanic Female,0,0,0,0,0,0,0,0
46324,Asian Male,0,0,0,0,0,0,0,0
46324,Asian Female,0,0,0,0,0,0,0,0
46375,Black Male,0,0,0,0,0,0,0,0
46375,Black Female,0,0,0,0,0,0,0,0
46375,White Male,0,0,0,0,0,0,0,0
46375,White Female,0,0,0,0,0,0,0,0
46375,Hispanic Male,0,1,0,0,0,0,0,1
46375,Hispanic Female,0,0,0,0,0,0,0,0
46375,Asian Male,0,0,0,0,0,0,0,0
46375,Asian Female,0,0,0,0,0,0,0,0
46402,Black Male,0,0,1,0,0,0,0,1
46402,Black Female,0,0,0,0,0,0,0,0
46402,White Male,0,0,0,0,0,0,0,0
46402,White Female,0,0,0,0,0,0,0,0
46402,Hispanic Male,0,0,0,0,0,0,0,0
46402,Hispanic Female,0,0,0,0,0,0,0,0
46402,Asian Male,0,0,0,0,0,0,0,0
46402,Asian Female,0,0,0,0,0,0,0,0
46406,Black Male,1,0,0,0,0,0,0,1
46406,Black Female,0,0,0,0,0,0,0,0
46406,White Male,0,0,0,0,0,0,0,0
46406,White Female,0,0,0,0,0,0,0,0
46406,Hispanic Male,0,0,0,0,0,0,0,0
46406,Hispanic Female,0,0,0,0,0,0,0,0
46406,Asian Male,0,0,0,0,0,0,0,0
46406,Asian Female,0,0,0,0,0,0,0,0
46410,Black Male,1,0,0,0,0,0,0,1
46410,Black Female,0,0,0,0,0,0,0,0
46410,White Male,0,0,0,0,0,0,0,0
46410,White Female,0,0,0,0,0,0,0,0
46410,Hispanic Male,0,0,0,0,0,0,0,0
46410,Hispanic Female,0,0,0,0,0,0,0,0
46410,Asian Male,0,0,0,0,0,0,0,0
46410,Asian Female,0,0,0,0,0,0,0,0
46526,Black Male,0,0,0,0,0,1,0,1
46526,Black Female,0,0,0,0,0,0,0,0
46526,White Male,0,0,0,0,0,0,0,0
46526,White Female,0,0,0,0,0,0,0,0
46526,Hispanic Male,0,0,0,0,0,0,0,0
46526,Hispanic Female,0,0,0,0,0,0,0,0
46526,Asian Male,0,0,0,0,0,0,0,0
46526,Asian Female,0,0,0,0,0,0,0,0
46545,Black Male,0,0,0,0,0,0,0,0
46545,Black Female,1,0,0,0,0,0,0,1
46545,White Male,0,0,0,0,0,0,0,0
46545,White Female,0,0,0,0,0,0,0,0
46545,Hispanic Male,0,0,0,0,0,0,0,0
46545,Hispanic Female,0,0,0,0,0,0,0,0
46545,Asian Male,0,0,0,0,0,0,0,0
46545,Asian Female,0,0,0,0,0,0,0,0
46802,Black Male,0,0,0,0,0,0,0,0
46802,Black Female,0,0,0,0,0,0,0,0
46802,White Male,0,0,0,0,0,0,0,0
46802,White Female,0,0,0,0,0,0,0,0
46802,Hispanic Male,0,0,0,0,0,0,0,0
46802,Hispanic Female,0,0,0,0,0,0,0,0
46802,Asian Male,0,0,0,0,0,0,0,0
46802,Asian Female,0,0,0,0,0,0,0,0
52001,Black Male,1,0,0,0,1,0,0,2
52001,Black Female,0,0,0,0,0,0,0,0
52001,White Male,0,0,0,0,0,0,0,0
52001,White Female,0,0,0,0,0,0,0,0
52001,Hispanic Male,0,0,0,0,0,0,0,0
52001,Hispanic Female,0,0,0,0,0,0,0,0
52001,Asian Male,0,0,0,0,0,0,0,0
52001,Asian Female,0,0,0,0,0,0,0,0
52801,Black Male,0,0,1,0,0,0,0,1
52801,Black Female,0,0,0,0,0,0,0,0
52801,White Male,0,0,0,0,0,0,0,0
52801,White Female,0,0,0,0,0,0,0,0
52801,Hispanic Male,0,0,0,0,0,0,0,0
52801,Hispanic Female,0,0,0,0,0,0,0,0
52801,Asian Male,0,0,0,0,0,0,0,0
52801,Asian Female,0,0,0,0,0,0,0,0
53140,Black Male,0,0,1,0,0,1,0,2
53140,Black Female,0,0,0,0,0,0,0,0
53140,White Male,0,0,0,0,0,0,0,0
53140,White Female,0,0,0,0,0,0,0,0
53140,Hispanic Male,0,0,0,0,0,0,0,0
53140,Hispanic Female,0,0,0,0,0,0,0,0
53140,Asian Male,0,0,0,0,0,0,0,0
53140,Asian Female,0,0,0,0,0,0,0,0
53205,Black Male,0,0,0,0,0,0,1,1
53205,Black Female,0,0,0,0,0,0,0,0
53205,White Male,0,0,0,0,0,0,0,0
53205,White Female,0,0,0,0,0,0,0,0
53205,Hispanic Male,0,0,0,0,0,0,0,0
53205,Hispanic Female,0,0,0,0,0,0,0,0
53205,Asian Male,0,0,0,0,0,0,0,0
53205,Asian Female,0,0,0,0,0,0,0,0
53210,Black Male,0,0,0,0,0,0,1,1
53210,Black Female,0,0,0,0,0,0,0,0
53210,White Male,0,0,0,0,0,0,0,0
53210,White Female,0,0,0,0,0,0,0,0
53210,Hispanic Male,0,0,0,0,0,0,0,0
53210,Hispanic Female,0,0,0,0,0,0,0,0
53210,Asian Male,0,0,0,0,0,0,0,0
53210,Asian Female,0,0,0,0,0,0,0,0
53218,Black Male,0,0,0,0,0,1,0,1
53218,Black Female,0,0,0,0,0,0,0,0
53218,White Male,0,0,0,0,0,0,0,0
53218,White Female,0,0,0,0,0,0,0,0
53218,Hispanic Male,0,0,0,0,0,0,0,0
53218,Hispanic Female,0,0,0,0,0,0,0,0
53218,Asian Male,0,0,0,0,0,0,0,0
53218,Asian Female,0,0,0,0,0,0,0,0
53224,Black Male,0,0,0,1,0,0,0,1
53224,Black Female,0,0,0,0,0,0,0,0
53224,White Male,0,0,0,0,0,0,0,0
53224,White Female,0,0,0,0,0,0,0,0
53224,Hispanic Male,0,0,0,0,0,0,0,0
53224,Hispanic Female,0,0,0,0,0,0,0,0
53224,Asian Male,0,0,0,0,0,0,0,0
53224,Asian Female,0,0,0,0,0,0,0,0
53233,Black Male,0,0,0,0,0,1,0,1
53233,Black Female,0,0,0,0,0,0,0,0
53233,White Male,0,0,0,0,0,0,0,0
53233,White Female,0,0,0,0,0,0,0,0
53233,Hispanic Male,0,0,0,0,0,0,0,0
53233,Hispanic Female,0,0,0,0,0,0,0,0
53233,Asian Male,0,0,0,0,0,0,0,0
53233,Asian Female,0,0,0,0,0,0,0,0
53406,Black Male,0,0,0,0,1,0,0,1
53406,Black Female,0,0,0,0,0,0,0,0
53406,White Male,0,0,0,0,0,0,0,0
53406,White Female,0,0,0,0,0,0,0,0
53406,Hispanic Male,0,0,0,0,0,0,0,0
53406,Hispanic Female,0,0,0,0,0,0,0,0
53406,Asian Male,0,0,0,0,0,0,0,0
53406,Asian Female,0,0,0,0,0,0,0,0
53545,Black Male,0,0,0,0,0,0,0,0
53545,Black Female,0,0,0,0,1,0,0,1
53545,White Male,0,0,0,0,0,0,0,0
53545,White Female,0,0,0,0,0,0,0,0
53545,Hispanic Male,0,0,0,0,0,0,0,0
53545,Hispanic Female,0,0,0,0,0,0,0,0
53545,Asian Male,0,0,0,0,0,0,0,0
53545,Asian Female,0,0,0,0,0,0,0,0
53703,Black Male,0,0,0,0,0,0,0,0
53703,Black Female,0,0,0,0,0,0,0,0
