zip,demo,exits_15,exits_14,exits_13,exits_12,exits_11,exits_10,exits_09,total
60601,Black Male,0,1,1,5,3,0,2,12
60601,Black Female,0,0,0,0,0,0,0,0
60601,White Male,0,0,0,0,0,0,0,0
60601,White Female,0,0,0,0,0,0,0,0
60601,Hispanic Male,0,0,1,0,2,0,0,3
60601,Hispanic Female,0,0,0,0,0,0,0,0
60601,Asian Male,0,0,0,0,0,0,0,0
60601,Asian Female,0,0,0,0,0,0,0,0
60602,Black Male,0,1,0,0,0,0,0,1
60602,Black Female,0,0,0,0,0,0,0,0
60602,White Male,0,0,0,0,0,0,0,0
60602,White Female,0,0,0,0,0,0,0,0
60602,Hispanic Male,0,0,0,0,0,0,0,0
60602,Hispanic Female,0,0,0,0,0,0,0,0
60602,Asian Male,0,0,0,0,0,0,0,0
60602,Asian Female,0,0,0,0,0,0,0,0
60605,Black Male,0,0,0,1,0,0,0,1
60605,Black Female,0,0,0,0,0,0,0,0
60605,White Male,0,0,0,0,0,0,0,0
60605,White Female,0,0,0,0,0,0,0,0
60605,Hispanic Male,0,0,0,0,0,0,0,0
60605,Hispanic Female,0,0,0,0,0,0,0,0
60605,Asian Male,0,0,0,0,0,0,0,0
60605,Asian Female,0,0,0,0,0,0,0,0
60607,Black Male,0,3,3,5,6,4,2,23
60607,Black Female,0,0,0,0,1,0,0,1
60607,White Male,0,0,0,0,0,0,0,0
60607,White Female,0,0,0,0,0,0,0,0
60607,Hispanic Male,0,0,0,2,0,0,0,2
60607,Hispanic Female,0,0,0,0,0,0,1,1
60607,Asian Male,0,0,0,0,0,0,0,0
60607,Asian Female,0,0,0,0,0,0,0,0
60608,Black Male,4,16,19,8,10,57,73,187
60608,Black Female,0,0,0,0,0,3,2,5
60608,White Male,0,1,0,0,0,0,1,2
60608,White Female,0,0,0,0,0,0,0,0
60608,Hispanic Male,2,2,4,1,2,10,9,30
60608,Hispanic Female,0,0,0,0,0,0,0,0
60608,Asian Male,0,0,0,0,0,0,0,0
60608,Asian Female,0,0,0,0,0,0,0,0
60609,Black Male,3,9,2,7,7,5,7,40
60609,Black Female,0,0,0,0,2,0,0,2
60609,White Male,0,0,0,0,0,0,2,2
60609,White Female,0,0,0,0,0,0,0,0
60609,Hispanic Male,1,3,2,4,0,0,2,12
60609,Hispanic Female,0,0,0,0,0,0,0,0
60609,Asian Male,0,0,0,0,0,0,0,0
60609,Asian Female,0,0,0,0,0,0,0,0
60609,American Indian Male,0,0,0,0,1,0,0,1
60609,American Indian Female,0,0,0,0,0,0,0,0
60610,Black Male,2,2,2,2,0,2,5,15
60610,Black Female,0,0,0,0,0,0,0,0
60610,White Male,0,0,0,0,0,0,0,0
60610,White Female,0,0,0,0,0,0,0,0
60610,Hispanic Male,0,0,0,0,0,0,0,0
60610,Hispanic Female,0,0,0,0,0,0,0,0
60610,Asian Male,0,0,0,0,0,0,0,0
60610,Asian Female,0,0,0,0,0,0,0,0
60611,Black Male,1,0,0,0,0,0,0,1
60611,Black Female,0,0,0,0,0,0,0,0
60611,White Male,0,0,0,0,0,0,0,0
60611,White Female,0,0,0,0,0,0,0,0
60611,Hispanic Male,0,0,0,0,0,0,0,0
60611,Hispanic Female,0,0,0,0,0,0,0,0
60611,Asian Male,0,0,0,0,0,0,0,0
60611,Asian Female,0,0,0,0,0,0,0,0
60612,Black Male,9,14,9,6,0,12,10,60
60612,Black Female,0,0,0,1,0,0,0,1
60612,White Male,0,0,1,0,0,0,0,1
60612,White Female,0,0,0,0,0,0,0,0
60612,Hispanic Male,0,3,2,0,0,0,0,5
60612,Hispanic Female,0,0,0,0,0,0,0,0
60612,Asian Male,0,0,0,0,0,0,0,0
60612,Asian Female,0,0,0,0,0,0,0,0
60613,Black Male,0,0,0,1,0,0,0,1
60613,Black Female,0,0,0,0,0,0,0,0
60613,White Male,0,0,0,0,0,0,0,0
60613,White Female,0,0,0,0,0,0,0,0
60613,Hispanic Male,0,0,0,1,0,0,0,1
60613,Hispanic Female,0,0,0,0,0,0,0,0
60613,Asian Male,0,0,0,0,0,0,0,0
60613,Asian Female,0,0,0,0,0,0,0,0
60614,Black Male,0,1,0,0,0,0,0,1
60614,Black Female,0,0,0,0,0,0,0,0
60614,White Male,0,0,0,0,0,0,0,0
60614,White Female,0,0,0,0,0,0,0,0
60614,Hispanic Male,0,0,0,0,0,0,0,0
60614,Hispanic Female,0,0,0,0,0,0,0,0
60614,Asian Male,0,0,0,0,0,0,0,0
60614,Asian Female,0,0,0,0,0,0,0,0
60615,Black Male,6,4,4,3,2,5,1,25
60615,Black Female,0,0,0,0,1,1,0,2
60615,White Male,0,0,0,0,0,0,0,0
60615,White Female,0,0,0,0,0,0,0,0
60615,Hispanic Male,0,0,0,0,0,0,0,0
60615,Hispanic Female,0,0,0,0,0,0,0,0
60615,Asian Male,0,0,0,0,0,0,0,0
60615,Asian Female,0,0,0,0,0,0,0,0
60616,Black Male,2,3,1,1,1,2,2,12
60616,Black Female,1,0,0,0,0,0,0,1
60616,White Male,0,0,0,0,0,0,0,0
60616,White Female,0,0,0,0,0,0,0,0
60616,Hispanic Male,0,0,0,0,0,0,0,0
60616,Hispanic Female,0,0,0,0,0,0,0,0
60616,Asian Male,0,0,0,0,0,0,0,0
60616,Asian Female,0,0,0,0,0,0,0,0
60617,Black Male,8,11,6,9,10,9,7,60
60617,Black Female,0,1,1,0,1,0,0,3
60617,White Male,0,0,0,0,0,0,0,0
60617,White Female,0,0,0,0,0,0,0,0
60617,Hispanic Male,0,3,1,0,0,2,1,7
60617,Hispanic Female,0,0,0,0,0,0,0,0
60617,Asian Male,0,0,0,0,0,0,0,0
60617,Asian Female,0,0,0,0,0,0,0,0
60618,Black Male,4,1,0,1,0,1,0,8
60618,Black Female,0,0,0,0,1,0,0,0
60618,White Male,0,0,0,0,0,0,0,0
60618,White Female,0,0,0,0,0,0,0,0
60618,Hispanic Male,1,0,0,1,2,3,0,0
60618,Hispanic Female,0,0,0,0,0,0,0,0
60618,Asian Male,0,0,0,0,0,0,0,0
60618,Asian Female,0,0,0,0,0,0,0,0
60619,Black Male,12,14,10,11,4,10,14,75
60619,Black Female,2,1,1,0,0,1,1,6
60619,White Male,0,0,0,0,0,0,0,0
60619,White Female,0,0,0,0,0,0,0,0
60619,Hispanic Male,0,0,0,0,0,0,0,0
60619,Hispanic Female,0,0,0,0,0,0,0,0
60619,Asian Male,0,0,0,0,0,0,0,0
60619,Asian Female,0,0,0,0,0,0,0,0
60620,Black Male,11,5,10,7,8,14,13,68
60620,Black Female,0,1,0,1,1,1,1,5
60620,White Male,0,0,0,0,0,0,0,0
60620,White Female,0,0,0,0,0,0,0,0
60620,Hispanic Male,0,0,0,0,0,0,0,0
60620,Hispanic Female,0,0,0,0,0,0,0,0
60620,Asian Male,0,0,0,0,0,0,0,0
60620,Asian Female,0,0,0,0,0,0,0,0
60621,Black Male,10,12,10,9,11,12,14,78
60621,Black Female,1,1,0,2,1,0,0,5
60621,White Male,0,0,0,0,0,0,0,0
60621,White Female,0,0,0,0,0,0,0,0
60621,Hispanic Male,1,2,0,0,0,0,0,3
60621,Hispanic Female,0,0,0,0,1,0,0,1
60621,Asian Male,0,0,0,0,0,0,0,0
60621,Asian Female,0,0,0,0,0,0,0,0
60622,Black Male,0,0,0,1,2,0,3,6
60622,Black Female,0,0,0,0,0,0,1,1
60622,White Male,0,0,0,0,0,0,0,0
60622,White Female,0,0,0,0,0,0,0,0
60622,Hispanic Male,0,0,0,0,1,0,0,1
60622,Hispanic Female,0,0,0,0,0,0,0,0
60622,Asian Male,0,0,0,0,0,0,0,0
60622,Asian Female,0,0,0,0,0,0,0,0
60623,Black Male,12,9,22,13,8,0,9,73
60623,Black Female,0,1,0,0,0,0,2,3
60623,White Male,0,0,0,0,0,0,0,0
